Rank,Company,Industry,City,State,Number of Employees,Revenue (millions),Valuation (millions),Profits (millions),Profits (% of Sales),Ticker,CEO
1,Walmart,General Merchandisers,Bentonville,Arkansas,"2,100,000","$611,289","$397,475","$11,680",1.9,WMT,Douglas McMillon
2,Amazon.com,Internet Services and Retailing,Seattle,Washington,"1,541,000","$513,983","$1,058,440","-$2,722",-0.5,AMZN,Andrew R. Jassy
3,Exxon Mobil,Petroleum Refining,Irving,Texas,"62,000","$413,680","$446,424","$55,740",13.5,XOM,Darren W. Woods
4,Apple,"Computers, Office Equipment",Cupertino,California,"164,000","$394,328","$2,609,039","$99,803",25.3,AAPL,Timothy D. Cook
5,UnitedHealth Group,Health Care: Insurance and Managed Care,Minnetonka,Minnesota,"400,000","$324,162","$440,854","$20,120",6.2,UNH,Andrew P. Witty
6,CVS Health,Health Care: Pharmacy and Other Services,Woonsocket,Rhose Island,"259,500","$322,467","$95,422","$4,149",1.3,CVS,Karen S. Lynch
7,Berkshire Hathaway,Insurance: Property and Casualty (Stock),Omaha,Nebraska,"383,000","$302,089","$675,657","-$22,819",-7.6,BRKA,Warren E. Buffett
8,Alphabet,Internet Services and Retailing,Mountain View,California,"190,234","$282,836","$1,330,201","$59,972",21.2,GOOGL,Sundar Pichai
9,McKesson,Wholesalers: Health Care,Irving,Texas,"66,500","$263,966","$48,757","$1,114",0.4,MCK,Brian S. Tyler
10,Chevron,Petroleum Refining,San Ramon,California,"43,846","$246,252","$311,093","$35,465",14.4,CVX,Michael K. Wirth
11,AmerisourceBergen,Wholesalers: Health Care,Conshohocken,Pennsylvania,"41,500","$238,587","$32,384","$1,699",0.7,ABC,Steven H. Collis
12,Costco Wholesale,General Merchandisers,Issaquah,Washington,"304,000","$226,954","$220,354","$5,844",2.6,COST,Craig Jelinek
13,Microsoft,Computer Software,Redmond,Washington,"221,000","$198,270","$2,146,049","$72,738",36.7,MSFT,Satya Nadella
14,Cardinal Health,Wholesalers: Health Care,Dublin,Ohio,"46,035","$181,364","$19,452",-$933,-0.5,CAH,Jason Hollar
15,Cigna Group,Health Care: Pharmacy and Other Services,Bloomfield,Connecticut,"70,231","$180,516","$75,901","$6,668",3.7,CI,David M. Cordani
16,Marathon Petroleum,Petroleum Refining,Findlay,Ohio,"17,800","$180,012","$59,544","$14,516",8.1,MPC,Michael J. Hennigan
17,Phillips 66,Petroleum Refining,Houston,Texas,"13,000","$175,702","$46,727","$11,024",6.3,PSX,Mark Lashier
18,Valero Energy,Petroleum Refining,San Antonio,Texas,"9,743","$171,189","$51,351","$11,528",6.7,VLO,Joseph W. Gorder
19,Ford Motor,Motor Vehicles & Parts,Dearborn,Michigan,"173,000","$158,057","$50,400","-$1,981",-1.3,F,Jim Farley
20,Home Depot,Specialty Retailers: Other,Atlanta,Georgia,"471,600","$157,403","$299,534","$17,105",10.9,HD,Ted Decker
21,General Motors,Motor Vehicles & Parts,Detroit,Michigan,"167,000","$156,735","$51,155","$9,934",6.3,GM,Mary T. Barra
22,Elevance Health,Health Care: Insurance and Managed Care,Indianapolis,Indiana,"102,300","$156,595","$109,098","$6,025",3.8,ELV,Gail K. Boudreaux
23,JPMorgan Chase,Commercial Banks,New York,New York,"293,723","$154,792","$383,549","$37,676",24.3,JPM,Jamie Dimon
24,Kroger,Food and Drug Stores,Cincinnati,Ohio,"430,000","$148,258","$35,421","$2,244",1.5,KR,Rodney Mcmullen
25,Centene,Health Care: Insurance and Managed Care,St. Louis,Missouri,"74,300","$144,547","$34,810","$1,202",0.8,CNC,Sarah M. London
26,Verizon Communications,Telecommunications,New York,New York,"117,100","$136,835","$163,333","$21,256",15.5,VZ,Hans E. Vestberg
27,Walgreens Boots Alliance,Food and Drug Stores,Deerfield,Illinois,"262,500","$132,703","$29,836","$4,337",3.3,WBA,Roz Brewer
28,Fannie Mae,Diversified Financials,Washington,District of Columbia,"8,000","$121,596",$475,"$12,923",10.6,FNMA,Priscilla Almodovar
29,Comcast,Telecommunications,Philadelphia,Pennsylvania,"186,000","$121,427","$159,831","$5,370",4.4,CMCSA,Brian L. Roberts
30,AT&T,Telecommunications,Dallas,Texas,"160,700","$120,741","$137,250","-$8,524",-7.1,T,John T. Stankey
31,Meta Platforms,Internet Services and Retailing,Menlo Park,California,"86,482","$116,609","$549,484","$23,200",19.9,META,Mark Zuckerberg
32,Bank of America,Commercial Banks,Charlotte,North Carolina,"216,823","$115,053","$228,780","$27,528",23.9,BAC,
33,Target,General Merchandisers,Minneapolis,Minnesota,"440,000","$109,120","$76,250","$2,780",2.5,TGT,Brian C. Cornell
34,Dell Technologies,"Computers, Office Equipment",Round Rock,Texas,"133,000","$102,301","$29,402","$2,442",2.4,DELL,Michael S. Dell
35,Archer Daniels Midland,Food Production,Chicago,Illinois,"41,181","$101,556","$43,530","$4,340",4.3,ADM,Juan R. Luciano
36,Citigroup,Commercial Banks,New York,New York,"238,104","$101,078","$91,270","$14,845",14.7,C,Jane Fraser
37,United Parcel Service,"Mail, Package and Freight Delivery",Atlanta,Georgia,"404,700","$100,338","$166,189","$11,548",11.5,UPS,Carol B. Tome
38,Pfizer,Pharmaceuticals,New York,New York,"83,000","$100,330","$230,292","$31,372",31.3,PFE,Albert Bourla
39,Lowe's,Specialty Retailers: Other,Mooresville,North Carolina,"244,500","$97,059","$119,253","$6,437",6.6,LOW,Marvin R. Ellison
40,Johnson & Johnson,Pharmaceuticals,New Brunswick,New Jersey,"152,700","$94,943","$483,576","$17,941",18.9,JNJ,
41,FedEx,"Mail, Package and Freight Delivery",Memphis,Tennessee,"464,400","$93,512","$57,431","$3,826",4.1,FDX,Raj Subramaniam
42,Humana,Health Care: Insurance and Managed Care,Louisville,Kentucky,"67,100","$92,870","$60,719","$2,806",3,HUM,Bruce D. Broussard
43,Energy Transfer,Pipelines,Dallas,Texas,"12,565","$89,876","$38,590","$4,756",5.3,ET,Thomas E. Long
44,State Farm Insurance,Insurance: Property and Casualty (Mutual),Bloomington,Illinois,"60,519","$89,328",,"-$6,654",-7.4,,Michael L. Tipsord
45,Freddie Mac,Diversified Financials,McLean,Virginia,"7,819","$86,717",$266,"$9,327",10.8,FMCC,Michael Devito
46,PepsiCo,Food Consumer Products,Purchase,New York,"315,000","$86,392","$251,085","$8,910",10.3,PEP,Ramon L. Laguarta
47,Wells Fargo,Commercial Banks,San Francisco,California,"238,000","$82,859","$141,188","$13,182",15.9,WFC,Charles W. Scharf
48,Walt Disney,Entertainment,Burbank,California,"195,800","$82,722","$182,920","$3,145",3.8,DIS,Robert A. Chapek
49,ConocoPhillips,"Mining, Crude-Oil Production",Houston,Texas,"9,500","$82,156","$120,777","$18,680",22.7,COP,Ryan M. Lance
50,Tesla,Motor Vehicles & Parts,Austin,Texas,"127,855","$81,462","$656,425","$12,556",15.4,TSLA,
51,Procter & Gamble,Household and Personal Products,Cincinnati,Ohio,"106,000","$80,187","$350,781","$14,742",18.4,PG,Jon R. Moeller
52,General Electric,Industrial Machinery,Boston,Massachusetts,"172,000","$76,555","$104,231",$225,0.3,GE,Lawrence Culp
53,Albertsons,Food and Drug Stores,Boise,Idaho,"195,750","$71,887","$11,132","$1,620",2.3,ACI,Vivek Sankaran
54,MetLife,"Insurance: Life, Health (Stock)",New York,New York,"45,000","$69,898","$44,867","$2,539",3.6,MET,Michel A. Khalaf
55,Goldman Sachs Group,Commercial Banks,New York,New York,"48,500","$68,711","$113,964","$11,261",16.4,GS,David M. Solomon
56,Sysco,Wholesalers: Food and Grocery,Houston,Texas,"70,510","$68,636","$39,202","$1,359",2,SYY,Kevin P. Hourican
57,Raytheon Technologies,Aerospace & Defense,Arlington,Virginia,"182,000","$67,074","$143,292","$5,197",7.7,RTX,Gregory J. Hayes
58,Boeing,Aerospace & Defense,Arlington,Virginia,"156,000","$66,608","$127,283","-$4,935",-7.4,BA,David L. Calhoun
59,StoneX Group,Diversified Financials,New York,New York,"3,615","$66,036","$2,138",$207,0.3,SNEX,Sean M. O'Connor
60,Lockheed Martin,Aerospace & Defense,Bethesda,Maryland,"116,000","$65,984","$120,319","$5,732",8.7,LMT,Jim Taiclet
61,Morgan Stanley,Commercial Banks,New York,New York,"82,427","$65,936","$147,674","$11,029",16.7,MS,James P. Gorman
62,Intel,Semiconductors and Other Electronic Components,Santa Clara,California,"131,900","$63,054","$136,268","$8,014",12.7,INTC,Patrick P. Gelsinger
63,HP,"Computers, Office Equipment",Palo Alto,California,"58,000","$62,983","$28,919","$3,203",5.1,HPQ,Enrique J. Lores
64,TD Synnex,Wholesalers: Electronics and Office Equipment,Fremont,California,"28,500","$62,344","$9,061",$651,1,SNX,Richard T. Hume
65,International Business Machines,Information Technology Services,Armonk,New York,"303,100","$60,530","$118,913","$1,639",2.7,IBM,Arvind Krishna
66,HCA Healthcare,Health Care: Medical Facilities,Nashville,Tennessee,"250,500","$60,233","$73,107","$5,643",9.4,HCA,Samuel N. Hazen
67,Prudential Financial,"Insurance: Life, Health (Stock)",Newark,New Jersey,"39,583","$60,050","$30,363","-$1,438",-2.4,PRU,Charles F. Lowrey
68,Caterpillar,Construction and Farm Machinery,Irving,Texas,"109,100","$59,427","$118,161","$6,705",11.3,CAT,Jim Umpleby
69,Merck,Pharmaceuticals,Rahway,New Jersey,"68,000","$59,283","$270,081","$14,519",24.5,MRK,
70,World Fuel Services,Energy,Miami,Florida,"5,214","$59,043","$1,585",$114,0.2,INT,Michael J. Kasbar
71,New York Life Insurance,"Insurance: Life, Health (Mutual)",New York,New York,"15,050","$58,445",,"-$1,127",-1.9,,Craig Desanto
72,Enterprise Products Partners,Pipelines,Houston,Texas,"7,300","$58,186","$56,224","$5,490",9.4,EPD,James Teague
73,AbbVie,Pharmaceuticals,North Chicago,Illinois,"50,000","$58,054","$281,151","$11,836",20.4,ABBV,Richard A. Gonzalez
74,Plains GP Holdings,Pipelines,Houston,Texas,"4,100","$57,342","$2,551",$168,0.3,PAGP,Willie Chiang
75,Dow,Chemicals,Midland,Michigan,"37,800","$56,902","$38,812","$4,582",8.1,DOW,James R. Fitterling
76,American International Group,Insurance: Property and Casualty (Stock),New York,New York,"26,200","$56,437","$36,948","$10,276",18.2,AIG,Peter S. Zaffino
77,American Express,Diversified Financials,New York,New York,"77,300","$55,625","$122,734","$7,514",13.5,AXP,
78,Publix Super Markets,Food and Drug Stores,Lakeland,Florida,"242,000","$54,942",,"$2,918",5.3,,Todd Jones
79,Charter Communications,Telecommunications,Stamford,Connecticut,"101,700","$54,022","$60,477","$5,055",9.4,CHTR,Christopher Winfrey
80,Tyson Foods,Food Production,Springdale,Arkansas,"142,000","$53,282","$21,096","$3,238",6.1,TSN,Donnie D. King
81,Deere,Construction and Farm Machinery,Moline,Illinois,"82,239","$52,577","$122,346","$7,131",13.6,DE,John C. May
82,Cisco Systems,Network and Other Communications Equipment,San Jose,California,"83,300","$51,557","$214,109","$11,812",22.9,CSCO,Chuck Robbins
83,Nationwide,Insurance: Property and Casualty (Mutual),Columbus,Ohio,"24,791","$51,450",,$988,1.9,,Kirt A. Walker
84,Allstate,Insurance: Property and Casualty (Stock),Northbrook,Illinois,"54,250","$51,412","$29,180","-$1,311",-2.6,ALL,Tom Wilson
85,Delta Air Lines,Airlines,Atlanta,Georgia,"95,000","$50,582","$22,392","$1,318",2.6,DAL,Ed Bastian
86,Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),Boston,Massachusetts,"50,000","$49,956",,$414,0.8,,Timothy Sweeney
87,TJX,Specialty Retailers: Apparel,Framingham,Massachusetts,"329,000","$49,936","$90,315","$3,498",7,TJX,Ernie L. Herrman
